trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,log_ret,log_return_5_days,daily_open_close_change_log,daily_high_low_change_log,hidden_states
2017-07-06,399300.SZ,3660.0967,3654.5576,3666.7745,3629.56,3659.6795,0.4172,0.0114,102379245.0,132837126.7,0.000113992556345366,-0.0023826699296822795,0.0015145216251131188,0.0018228249594507417,3
2017-07-07,399300.SZ,3655.9293,3647.6416,3657.1131,3631.8702,3660.0967,-4.1674,-0.1139,103735497.0,123465392.6,-0.00113925249875813,-0.0029684045248465907,0.0022694935588898346,0.0003237503478281667,3
2017-07-10,399300.SZ,3653.6868,3647.9379,3667.8455,3641.5277,3655.9293,-2.2425,-0.0613,120591910.0,141034626.5,-0.000613575334101668,0.000777736264396367,0.0015746909555449662,0.003867692463789041,3
2017-07-11,399300.SZ,3670.8086,3646.8783,3701.2087,3645.9946,3653.6868,17.1218,0.4686,118760826.0,145084363.2,0.00467522477711135,0.013942331210692771,0.0065404233968386905,0.008247477205442166,3
2017-07-12,399300.SZ,3658.8236,3672.6328,3691.5814,3640.5893,3670.8086,-11.985,-0.3265,122287792.0,143494599.0,-0.00327028979200961,-0.00023390029141268087,-0.0037671140840984663,0.008913254949362681,3
2017-07-13,399300.SZ,3686.9205,3656.3502,3690.4832,3652.5658,3658.8236,28.0969,0.7679,125669549.0,146388679.5,0.00764988179228787,0.007301988944529825,0.008326120023090411,0.0009658412151019036,3
2017-07-14,399300.SZ,3703.094,3682.6153,3703.094,3672.7425,3686.9205,16.1735,0.4387,105514005.0,121021448.8,0.00437712965859305,0.012818371101880999,0.00554550731672343,0.0,3
2017-07-17,399300.SZ,3663.5575,3700.6179,3716.47,3621.3652,3703.094,-39.5365,-1.0677,178821600.0,196217253.7,-0.0107340165644167,0.0026979298715659183,-0.010065135839244732,0.014339623171787608,3
2017-07-18,399300.SZ,3667.1807,3648.4942,3667.5408,3622.0414,3663.5575,3.6232,0.0989,124622056.0,141472283.9,0.000988495345538354,-0.000988799560007081,0.005108630685645821,9.819050397119611e-05,3
2017-07-19,399300.SZ,3729.7466,3660.8665,3731.0468,3658.2035,3667.1807,62.5659,1.7061,182477787.0,198392451.7,0.0169171304776317,0.019198620709634184,0.018640427664537995,0.0003485420232003378,3
2017-07-20,399300.SZ,3747.8843,3725.1436,3750.1938,3723.0689,3729.7466,18.1377,0.4863,142410039.0,169267149.9,0.00485119841131088,0.016399937328657188,0.006086092678419419,0.0006160245444863932,3
2017-07-21,399300.SZ,3728.5976,3738.1847,3751.6947,3722.0656,3747.8843,-19.2867,-0.5146,117941226.0,141432632.9,-0.00515930969667977,0.006863497973384369,-0.0025679348568505844,0.0061754734914440945,3
2017-07-24,399300.SZ,3743.4686,3724.3778,3755.1902,3719.8488,3728.5976,14.871,0.3988,134868722.0,154701874.6,0.00398043037532503,0.021577944913126146,0.005112810458294703,0.003126321615575023,3
2017-07-25,399300.SZ,3719.559,3742.6405,3752.1559,3713.2766,3743.4686,-23.9096,-0.6387,121672059.0,133531656.1,-0.00640750191056938,0.014181947657018412,-0.006186265486595843,0.008725468582916562,3
2017-07-26,399300.SZ,3705.3884,3722.8761,3738.5316,3684.1819,3719.559,-14.1706,-0.381,136325210.0,146518004.9,-0.00381702830786956,-0.00655221112848281,-0.004708430160912158,0.008904829447372364,3
2017-07-27,399300.SZ,3712.1947,3700.8558,3716.6888,3672.4971,3705.3884,6.8063,0.1837,145002904.0,161631225.3,0.00183518049436771,-0.00956822904542598,0.0030591748546608954,0.0012098993201945518,3
2017-07-28,399300.SZ,3721.8914,3703.4895,3725.5378,3696.7776,3712.1947,9.6967,0.2612,111411392.0,125817861.9,0.00260871487597036,-0.001800204472775846,0.004956496621758788,0.0009792373162476053,3
2017-07-31,399300.SZ,3737.8732,3722.4282,3746.5207,3713.655,3721.8914,15.9818,0.4294,148429039.0,160890133.1,0.00428480664163899,-0.00149582820646188,0.004140589297469077,0.0023108093891259784,3
2017-08-01,399300.SZ,3770.3828,3738.7364,3770.4043,3737.0954,3737.8732,32.5096,0.8697,152546539.0,173127578.9,0.00865974819212667,0.01357142189623417,0.00842884139077782,5.7023225057406535e-06,3
2017-08-02,399300.SZ,3760.8525,3768.1938,3784.3511,3759.2764,3770.3828,-9.5303,-0.2528,172293383.0,189336782.8,-0.0025308743406427,0.014857575863461037,-0.0019501280863636339,0.0062287718714593154,4
2017-08-03,399300.SZ,3727.8264,3755.1081,3766.3452,3718.4351,3760.8525,-33.0261,-0.8782,146153944.0,164710461.5,-0.00882033121065007,0.004202064158443264,-0.0072917438685280445,0.010279759059853788,3
2017-08-04,399300.SZ,3707.5796,3724.7225,3738.7312,3707.003,3727.8264,-20.2468,-0.5431,157470060.0,168292664.5,-0.0054460644227543,-0.003852715140281404,-0.004613087619484091,0.008367037738057803,3
2017-08-07,399300.SZ,3726.7948,3701.2161,3730.7774,3689.9552,3707.5796,19.2152,0.5183,124231530.0,134348537.4,0.00516929650151354,-0.0029682252804068554,0.006887119970407696,0.0010680688759805435,3
2017-08-08,399300.SZ,3732.2129,3724.3287,3737.3344,3718.8116,3726.7948,5.4181,0.1454,137241928.0,146481868.9,0.0014527672234248,-0.010175206249108726,0.0021147076918790475,0.001371301525212587,3
2017-08-09,399300.SZ,3731.044,3728.0319,3738.999,3713.5668,3732.2129,-1.1689,-0.0313,124679989.0,137223598.2,-0.000313241263222963,-0.007957573171688992,0.0008076336007576401,0.0021298412893049345,3
2017-08-10,399300.SZ,3715.9208,3724.962,3746.8614,3688.1766,3731.044,-15.1232,-0.4053,130085128.0,148005169.4,-0.00406157977002763,-0.003198821731066559,-0.0024301429527877616,0.008292022051326953,3
2017-08-11,399300.SZ,3647.3503,3687.9314,3700.4944,3645.0945,3715.9208,-68.5705,-1.8453,150387421.0,161083470.4,-0.0186255487213121,-0.016378306029624312,-0.011064745890562833,0.01446547358212058,3
2017-08-14,399300.SZ,3694.6831,3651.3754,3698.3663,3651.3754,3647.3503,47.3328,1.2977,115308451.0,140233894.1,0.0128938274123858,-0.008653775118752094,0.01179086764283177,0.0009963954264176067,3
2017-08-15,399300.SZ,3706.0566,3695.78,3719.2931,3692.2802,3694.6831,11.3735,0.3078,106444857.0,124790630.9,0.00307361410208173,-0.00703292824009516,0.002776772079272405,0.003565223068365597,3
2017-08-16,399300.SZ,3701.4207,3701.1337,3707.144,3679.7338,3706.0566,-4.6359,-0.1251,104134141.0,127282165.8,-0.00125168135317999,-0.007971368330052186,7.7540801360243e-05,0.001545049917305974,3
2017-08-17,399300.SZ,3721.277,3707.0668,3722.6239,3704.4126,3701.4207,19.8563,0.5365,108656251.0,137020002.9,0.00535017002360227,0.0014403814635777223,0.00382594497952482,0.00036188015740457047,3
2017-08-18,399300.SZ,3724.6748,3707.1891,3733.4914,3700.4112,3721.277,3.3978,0.0913,96561705.0,123078163.9,0.000912657059060962,0.02097858724395074,0.004705611539833399,0.002364282015314245,3
2017-08-21,399300.SZ,3740.9941,3731.8399,3744.2631,3728.6157,3724.6748,16.3193,0.4381,100313073.0,123911716.2,0.00437183223928983,0.01245659207085481,0.0024499954311814065,0.0008734503359040247,3
2017-08-22,399300.SZ,3752.298,3745.7543,3758.2924,3734.5556,3740.9941,11.3039,0.3022,100292856.0,131131078.3,0.00301707405072449,0.012400052019497565,0.0017454403889178849,0.0015962530116997442,3
2017-08-23,399300.SZ,3756.0884,3747.6108,3772.4568,3741.7204,3752.298,3.7904,0.101,104961573.0,124081155.7,0.00100964444823681,0.014661377820914367,0.00225957981018432,0.004348363556745838,3
2017-08-24,399300.SZ,3734.6458,3755.8902,3765.7082,3729.0876,3756.0884,-21.4426,-0.5709,89947372.0,107736019.0,-0.00572511532141817,0.0035860924758939206,-0.0056723462679908465,0.008282963068820592,3
